"index","progressed","size","PDI","API_prop","oil_total","surfactant_total","cosolvent_total","other_total","o_num","s_num","c_num","other_num","cplx_minmax_norm","API_mol_wt","logp_chemaxon","API_melt_temp","API_water_sol","API_polar_sa","API_rot_bond","API_H_bond_donor","API_H_bond_accept","o_LC","o_sat","s_HLB","c_mol_wt","c_melt_temp","c_boil_temp","c_density","c_viscosity"
639,"0",19.1,NA,3,9.7,87.3,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.8,0,0,0,0,0
640,"0",374.1,NA,3,19.4,77.6,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.5,0,0,0,0,0
641,"0",288.4,NA,3,19.4,77.6,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.2,0,0,0,0,0
642,"0",212.3,NA,3,19.4,77.6,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.8,0,0,0,0,0
643,"0",285.5,NA,3,29.1,67.9,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.5,0,0,0,0,0
644,"1",269.3,NA,3,29.1,67.9,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.2,0,0,0,0,0
645,"0",239.6,NA,3,29.1,67.9,0,0,1,2,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,15.8,0,0,0,0,0
646,"1",40.1,NA,8,46,46,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,13,0,0,0,0,0
647,"0",NA,NA,3.73,77.02,19.25,0,0,1,1,0,0,0,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
648,"0",NA,NA,1.05,79.16,19.79,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
649,"1",NA,NA,3.97,76.82,19.21,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
650,"0",NA,NA,3.94,76.84,19.21,0,0,1,1,0,0,0,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
651,"0",NA,NA,4.21,76.64,19.16,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
652,"0",NA,NA,4.11,76.7,19.18,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
653,"0",NA,NA,6.64,74.69,18.67,0,0,1,1,0,0,0,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
654,"0",NA,NA,4.24,76.6,19.15,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
655,"0",NA,NA,6.72,74.62,18.66,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,1,0,14,0,0,0,0,0
656,"0",NA,NA,6.45,74.84,18.71,0,0,1,1,0,0,0,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
657,"0",NA,NA,8.99,72.8,18.2,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
658,"0",NA,NA,8.41,73.28,18.32,0,0,2,1,0,0,0.125,368.514,5.88,118.5,0.75,6.48,6,0,2,0,1,14,0,0,0,0,0
659,"0",154,0.35,0.067,44.97,44.97,9.99,0,1,1,1,0,0.125,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
660,"0",70.8,0.22,0.071,44.86,44.86,9.97,0.25,1,1,1,1,0.25,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
661,"1",64,0.47,0.071,44.74,44.74,9.94,0.5,1,1,1,1,0.25,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
662,"1",149.36,0.43,0.5,47.25,52.25,0,0,1,2,0,0,0.125,924.079,-2.3,170,0.0819,319.61,3,12,17,1,0,13.9,0,0,0,0,0
663,"0",227.37,0.62,0.5,56.7,42.8,0,0,1,2,0,0,0.125,924.079,-2.3,170,0.0819,319.61,3,12,17,1,0,13.9,0,0,0,0,0
664,"0",166,0.33,0.116,31.46,31.46,6.99,29.97,1,1,1,1,0.25,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
665,"0",118,0.36,0.104,31.47,31.47,6.99,29.97,1,1,1,1,0.25,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
666,"1",150,0.27,0.169,31.45,31.45,6.99,29.95,1,1,1,1,0.25,924.079,-2.3,170,0.0819,319.61,3,12,17,0,1,15,76.1,-59,188.2,1,56
667,"0",400,NA,0.5,49.75,49.75,0,0,1,1,0,0,0,924.079,-2.3,170,0.0819,319.61,3,12,17,1,0,14,0,0,0,0,0
668,"0",400,NA,0.5,59.7,39.8,0,0,1,1,0,0,0,924.079,-2.3,170,0.0819,319.61,3,12,17,1,0,14,0,0,0,0,0
