iter	Logloss
0	0.6912818123
1	0.6893276076
2	0.6871946609
3	0.6853337773
4	0.6836204744
5	0.6811591674
6	0.6798188631
7	0.6778715396
8	0.6761072255
9	0.6743469551
10	0.6724374794
11	0.670299637
12	0.6683150035
13	0.6663615808
14	0.6649909637
15	0.6630455595
16	0.6614484393
17	0.6598131595
18	0.6585015933
19	0.6573243562
20	0.6551925447
21	0.6537570847
22	0.6520833424
23	0.6505938428
24	0.6488001832
25	0.6465330571
26	0.6452705778
27	0.6436101584
28	0.6420262812
29	0.6406027043
30	0.6393462489
31	0.6379195595
32	0.6359866838
33	0.6346344163
34	0.6334519567
35	0.631910458
36	0.631199583
37	0.6308058064
38	0.6298505058
39	0.6284959138
40	0.6267520793
41	0.6250896185
42	0.6237701436
43	0.6222572922
44	0.6213242818
45	0.6203561852
46	0.6190731315
47	0.6179489706
48	0.6165955542
49	0.6151195149
50	0.6141039604
51	0.6127424406
52	0.6119697119
53	0.6109059758
54	0.6092389216
55	0.6079265448
56	0.6065582963
57	0.6053158174
58	0.6042220759
59	0.6030522675
60	0.601815468
61	0.6003908289
62	0.5990779229
63	0.5980902792
64	0.5963426772
65	0.5952383639
66	0.5942286357
67	0.5933566157
68	0.5923445536
69	0.5914016196
70	0.5902596271
71	0.5890794878
72	0.5877720087
73	0.5863973123
74	0.5847781862
75	0.5840223696
76	0.5831607384
77	0.5823678721
78	0.5814879913
79	0.5804046275
80	0.5792954361
81	0.5780813658
82	0.5774416417
83	0.5763845329
84	0.5756220848
85	0.5746453894
86	0.5730828644
87	0.5719195446
88	0.5708990081
89	0.5701233372
90	0.5696134834
91	0.5683865325
92	0.5678047971
93	0.5668306247
94	0.5657828355
95	0.5647014777
96	0.5636510772
97	0.5629898647
98	0.5619167787
99	0.560936511
100	0.5601068968
101	0.5595924654
102	0.5586320705
103	0.5577776625
104	0.5565705947
105	0.555783738
106	0.5550679897
107	0.5541734872
108	0.553121602
109	0.5519296532
110	0.5512169092
111	0.5503383859
112	0.5495438112
113	0.5487195639
114	0.5482914481
115	0.5473506785
116	0.5468730423
117	0.5462482786
118	0.5455572653
119	0.5452912788
120	0.5444901182
121	0.5435497471
122	0.5426610396
123	0.542190265
124	0.541620179
125	0.5402875974
126	0.5396080213
127	0.5383611095
128	0.5378463521
129	0.5368380107
130	0.5362547726
131	0.5353535957
132	0.5345736111
133	0.5337713517
134	0.5329019641
135	0.5324053981
136	0.5317511365
137	0.5309649364
138	0.5303354537
139	0.5298959307
140	0.5292323642
141	0.528503007
142	0.5279207203
143	0.5270572904
144	0.5266243561
145	0.5256993234
